x	interp	deriv	integ
3.53	-0.925513	0.378717	-0.378715
3.54	-0.92168	0.387876	-0.387951
3.55	-0.917755	0.397179	-0.397148
3.56	-0.913737	0.406306	-0.406306
3.57	-0.909629	0.415395	-0.415423
3.58	-0.905429	0.424513	-0.424498
3.59	-0.901139	0.433553	-0.433531
3.6	-0.896758	0.442577	-0.44252
3.61	-0.892288	0.45144	-0.451466
3.62	-0.887729	0.460362	-0.460366
3.63	-0.883081	0.469212	-0.46922
3.64	-0.878345	0.47799	-0.478027
3.65	-0.873521	0.486826	-0.486787
3.66	-0.868609	0.495504	-0.495497
3.67	-0.863611	0.504158	-0.504159
3.68	-0.858526	0.512763	-0.512769
3.69	-0.853356	0.521291	-0.521329
3.7	-0.8481	0.529872	-0.529836
3.71	-0.842759	0.53832	-0.538291
3.72	-0.837334	0.546647	-0.546691
3.73	-0.831826	0.554991	-0.555037
3.74	-0.826234	0.563389	-0.563327
3.75	-0.820559	0.571555	-0.571561
3.76	-0.814803	0.579692	-0.579738
3.77	-0.808965	0.587876	-0.587857
3.78	-0.803046	0.595903	-0.595917
3.79	-0.797047	0.603911	-0.603918
3.8	-0.790968	0.611854	-0.611858
3.81	-0.78481	0.619773	-0.619737
3.82	-0.778573	0.627555	-0.627554
3.83	-0.772259	0.635306	-0.635308
3.84	-0.765867	0.643022	-0.642999
3.85	-0.759399	0.650605	-0.650625
3.86	-0.752855	0.658159	-0.658186
3.87	-0.746236	0.665658	-0.665682
3.88	-0.739542	0.673107	-0.673111
3.89	-0.732774	0.680514	-0.680473
3.9	-0.725932	0.687836	-0.687766
3.91	-0.719018	0.694943	-0.694991
3.92	-0.712033	0.702093	-0.702146
3.93	-0.704976	0.709284	-0.709231
3.94	-0.697848	0.716269	-0.716246
3.95	-0.690651	0.723139	-0.723188
3.96	-0.683385	0.730073	-0.730058
3.97	-0.67605	0.736868	-0.736856
3.98	-0.668648	0.743557	-0.743579
3.99	-0.661179	0.750206	-0.750228
4	-0.653644	0.756819	-0.756803
4.01	-0.646043	0.763318	-0.763301
4.02	-0.638378	0.769707	-0.769723
4.03	-0.630649	0.776052	-0.776068
4.04	-0.622857	0.782385	-0.782336
4.05	-0.615002	0.788508	-0.788525
4.06	-0.607087	0.794584	-0.794636
4.07	-0.59911	0.800755	-0.800667
4.08	-0.591073	0.806597	-0.806618
4.09	-0.582978	0.812458	-0.812488
4.1	-0.574824	0.818273	-0.818277
4.11	-0.566613	0.823952	-0.823984
4.12	-0.558345	0.829619	-0.829609
4.13	-0.550021	0.835171	-0.835151
4.14	-0.541642	0.840598	-0.840609
4.15	-0.533209	0.846037	-0.845984
4.16	-0.524722	0.851252	-0.851273
4.17	-0.516184	0.856453	-0.856478
4.18	-0.507593	0.861636	-0.861597
4.19	-0.498952	0.866602	-0.86663
4.2	-0.490261	0.871554	-0.871576
4.21	-0.481521	0.876481	-0.876435
4.22	-0.472732	0.88122	-0.881206
4.23	-0.463897	0.885837	-0.885889
4.24	-0.455015	0.890533	-0.890484
4.25	-0.446087	0.895033	-0.894989
4.26	-0.437115	0.899336	-0.899405
4.27	-0.4281	0.903725	-0.903732
4.28	-0.419041	0.907965	-0.907967
4.29	-0.409941	0.912116	-0.912112
4.3	-0.400799	0.916172	-0.916166
4.31	-0.391618	0.920097	-0.920128
4.32	-0.382397	0.924039	-0.923998
4.33	-0.373138	0.927747	-0.927776
4.34	-0.363842	0.931472	-0.931461
4.35	-0.354509	0.935065	-0.935053
4.36	-0.345141	0.938567	-0.938551
4.37	-0.335738	0.941967	-0.941955
4.38	-0.326302	0.945266	-0.945266
4.39	-0.316833	0.948471	-0.948481
4.4	-0.307333	0.951552	-0.951602
4.41	-0.297802	0.954622	-0.954628
4.42	-0.288241	0.957561	-0.957558
4.43	-0.278651	0.960434	-0.960393
4.44	-0.269033	0.963105	-0.963131
4.45	-0.259389	0.965748	-0.965773
4.46	-0.249718	0.968402	-0.968319
4.47	-0.240022	0.970744	-0.970767
4.48	-0.230303	0.973121	-0.973119
4.49	-0.22056	0.97537	-0.975373
4.5	-0.210796	0.977499	-0.97753
4.51	-0.20101	0.979635	-0.979589
4.52	-0.191204	0.981562	-0.98155
4.53	-0.181379	0.983417	-0.983413
4.54	-0.171536	0.985171	-0.985178
4.55	-0.161676	0.986799	-0.986844
4.56	-0.1518	0.988434	-0.988411
4.57	-0.141908	0.989866	-0.98988
4.58	-0.132003	0.991204	-0.991249
4.59	-0.122084	0.992519	-0.99252
4.6	-0.112153	0.993721	-0.993691
4.61	-0.10221	0.994796	-0.994763
4.62	-0.0922576	0.995713	-0.995735
4.63	-0.0822958	0.996612	-0.996608
4.64	-0.0723258	0.99738	-0.997381
4.65	-0.0623485	0.998059	-0.998054
4.66	-0.052365	0.998625	-0.998628
4.67	-0.0423763	0.999102	-0.999102
4.68	-0.0323833	0.999478	-0.999476
4.69	-0.0223871	0.999745	-0.999749
4.7	-0.0123887	0.999923	-0.999923
4.71	-0.00238898	1	-0.999997
4.72	0.00761095	0.99997	-0.999971
4.73	0.0176101	0.999843	-0.999845
4.74	0.0276075	0.999624	-0.999619
4.75	0.0376022	0.99929	-0.999293
4.76	0.047593	0.998867	-0.998867
4.77	0.0575792	0.998344	-0.998341
4.78	0.0675595	0.997709	-0.997715
4.79	0.0775331	0.996991	-0.99699
4.8	0.087499	0.996176	-0.996165
4.81	0.0974561	0.995204	-0.99524
4.82	0.107403	0.994207	-0.994216
4.83	0.11734	0.993137	-0.993092
4.84	0.127265	0.991845	-0.991869
4.85	0.137177	0.990584	-0.990547
4.86	0.147076	0.989121	-0.989125
4.87	0.156959	0.987532	-0.987605
4.88	0.166827	0.986051	-0.985986
4.89	0.176679	0.984265	-0.984269
4.9	0.186512	0.982387	-0.982453
4.91	0.196327	0.980585	-0.980538
4.92	0.206123	0.978573	-0.978526
4.93	0.215898	0.976423	-0.976416
4.94	0.225651	0.974136	-0.974208
4.95	0.235381	0.971932	-0.971903
4.96	0.245089	0.969534	-0.969501
4.97	0.254771	0.966932	-0.967001
4.98	0.264428	0.964438	-0.964405
4.99	0.274059	0.961715	-0.961713
5	0.283662	0.9589	-0.958924
5.01	0.293237	0.956084	-0.95604
5.02	0.302783	0.953065	-0.95306
5.03	0.312298	0.949955	-0.949984
5.04	0.321782	0.946816	-0.946814
5.05	0.331234	0.943583	-0.943549
5.06	0.340653	0.940154	-0.940189
5.07	0.350037	0.936703	-0.936736
5.08	0.359387	0.933234	-0.933189
5.09	0.368701	0.929561	-0.929548
5.1	0.377978	0.925822	-0.925815
5.11	0.387217	0.921952	-0.921989
5.12	0.396417	0.918071	-0.918071
5.13	0.405578	0.914066	-0.914061
5.14	0.414698	0.909966	-0.909959
5.15	0.423777	0.90577	-0.905767
5.16	0.432813	0.901452	-0.901484
5.17	0.441806	0.89712	-0.897111
5.18	0.450755	0.892666	-0.892648
5.19	0.459659	0.888116	-0.888096
5.2	0.468517	0.88347	-0.883455
5.21	0.477328	0.878704	-0.878725
5.22	0.486091	0.873915	-0.873908
5.23	0.494806	0.869036	-0.869004
5.24	0.503471	0.86394	-0.864012
5.25	0.512085	0.858902	-0.858935
5.26	0.520649	0.85385	-0.853771
5.27	0.529161	0.848498	-0.848522
5.28	0.537619	0.843157	-0.843188
5.29	0.546024	0.837774	-0.83777
5.3	0.554374	0.832247	-0.832267
5.31	0.562669	0.826738	-0.826682
5.32	0.570908	0.821002	-0.821014
5.33	0.579089	0.815253	-0.815264
5.34	0.587213	0.809486	-0.809433
5.35	0.595278	0.803501	-0.80352
5.36	0.603283	0.797508	-0.797527
5.37	0.611228	0.791468	-0.791455
5.38	0.619112	0.78532	-0.785303
5.39	0.626934	0.779052	-0.779073
5.4	0.634693	0.772773	-0.772765
5.41	0.642389	0.766356	-0.766379
5.42	0.65002	0.759902	-0.759917
5.43	0.657587	0.753437	-0.753379
5.44	0.665088	0.746752	-0.746765
5.45	0.672522	0.740057	-0.740077
5.46	0.679889	0.733322	-0.733315
5.47	0.687188	0.726455	-0.72648
5.48	0.694418	0.719556	-0.719572
5.49	0.701579	0.712619	-0.712592
5.5	0.70867	0.705569	-0.70554
5.51	0.71569	0.698407	-0.698418
5.52	0.722638	0.691204	-0.691227
5.53	0.729514	0.683977	-0.683966
5.54	0.736317	0.676589	-0.676637
5.55	0.743046	0.669268	-0.66924
5.56	0.749702	0.661841	-0.661776
5.57	0.756282	0.65417	-0.654246
5.58	0.762786	0.646678	-0.646651
5.59	0.769215	0.639016	-0.638991
5.6	0.775566	0.631256	-0.631267
5.61	0.78184	0.623459	-0.62348
5.62	0.788035	0.615608	-0.61563
5.63	0.794152	0.607711	-0.607719
5.64	0.800189	0.59975	-0.599747
5.65	0.806147	0.591791	-0.591716
5.66	0.812024	0.583586	-0.583625
5.67	0.817819	0.575464	-0.575475
5.68	0.823533	0.567258	-0.567269
5.69	0.829164	0.559005	-0.559005
5.7	0.834713	0.550721	-0.550686
5.71	0.840178	0.542309	-0.542311
5.72	0.845559	0.533841	-0.533882
5.73	0.850855	0.525425	-0.5254
5.74	0.856067	0.516858	-0.516865
5.75	0.861192	0.508242	-0.508279
5.76	0.866232	0.499675	-0.499642
5.77	0.871185	0.490958	-0.490955
5.78	0.876051	0.482192	-0.482218
5.79	0.880829	0.473475	-0.473434
5.8	0.88552	0.464609	-0.464602
5.81	0.890121	0.45569	-0.455724
5.82	0.894634	0.44683	-0.4468
5.83	0.899057	0.437789	-0.437832
5.84	0.90339	0.428812	-0.428819
5.85	0.907633	0.419762	-0.419764
5.86	0.911785	0.410641	-0.410667
5.87	0.915846	0.401574	-0.401529
5.88	0.919816	0.392362	-0.39235
5.89	0.923693	0.383077	-0.383133
5.9	0.927478	0.373929	-0.373877
5.91	0.931171	0.364608	-0.364583
5.92	0.93477	0.35524	-0.355254
5.93	0.938276	0.345934	-0.345888
5.94	0.941688	0.336426	-0.336488
5.95	0.945005	0.327061	-0.327055
5.96	0.948229	0.317628	-0.317589
5.97	0.951357	0.308027	-0.308091
5.98	0.95439	0.298566	-0.298562
5.99	0.957328	0.28901	-0.289003
6	0.96017	0.279394	-0.279416
6.01	0.962916	0.269816	-0.2698
6.02	0.965566	0.260143	-0.260158
6.03	0.968119	0.25051	-0.250489
6.04	0.970576	0.240815	-0.240795
6.05	0.972935	0.23103	-0.231078
6.06	0.975197	0.221366	-0.221337
6.07	0.977362	0.211605	-0.211574
6.08	0.979429	0.201815	-0.20179
6.09	0.981398	0.191934	-0.191986
6.1	0.983268	0.182147	-0.182163
6.11	0.985041	0.172376	-0.172321
6.12	0.986715	0.162447	-0.162462
6.13	0.98829	0.152535	-0.152587
6.14	0.989766	0.142713	-0.142697
6.15	0.991144	0.132815	-0.132792
6.16	0.992422	0.122829	-0.122874
6.17	0.993601	0.112969	-0.112944
6.18	0.994681	0.102996	-0.103002
6.19	0.995661	0.0930466	-0.0930505
6.2	0.996542	0.0831173	-0.0830894
6.21	0.997323	0.0730841	-0.07312
6.22	0.998004	0.0631465	-0.0631433
6.23	0.998586	0.0532301	-0.0531603
6.24	0.999068	0.0431331	-0.0431719
6.25	0.999449	0.0331375	-0.0331793
6.26	0.999731	0.0232168	-0.0231833
6.27	0.999913	0.0131952	-0.013185
6.28	0.999995	0.00320245	-0.00318535
6.29	0.999977	-0.00680497	0.00681459
6.3	0.999859	-0.0167826	0.0168139
6.31	0.999641	-0.0268647	0.0268114
6.32	0.999322	-0.0368586	0.0368063
6.33	0.998904	-0.046801	0.0467975
6.34	0.998386	-0.0567373	0.0567841
6.35	0.997769	-0.0667498	0.0667649
6.36	0.997051	-0.0767634	0.0767391
6.37	0.996234	-0.0866964	0.0867056
6.38	0.995317	-0.0966508	0.0966635
6.39	0.994301	-0.1066	0.106612
6.4	0.993185	-0.116547	0.116549
6.41	0.99197	-0.12651	0.126475
6.42	0.990655	-0.136414	0.136388
6.43	0.989242	-0.146234	0.146288
6.44	0.98773	-0.156151	0.156173
6.45	0.986119	-0.166064	0.166042
6.46	0.984409	-0.175894	0.175895
6.47	0.982601	-0.185761	0.18573
6.48	0.980694	-0.195564	0.195546
6.49	0.97869	-0.205285	0.205343
6.5	0.976588	-0.215097	0.21512
6.51	0.974388	-0.224927	0.224875
6.52	0.97209	-0.234594	0.234607
6.53	0.969696	-0.244298	0.244316
6.54	0.967204	-0.254015	0.254001
6.55	0.964616	-0.263642	0.26366
6.56	0.961931	-0.273317	0.273293
6.57	0.95915	-0.282889	0.282898
6.58	0.956273	-0.292528	0.292476
6.59	0.9533	-0.301998	0.302024
6.6	0.950233	-0.311481	0.311541
