x	res0	res1	res2	res3	func
0.384	0.41291	0.41291	0.412942	0.41291	0.41291
0.385	0.413883	0.413883	0.413916	0.413883	0.413883
0.386	0.414856	0.414856	0.414889	0.414856	0.414856
0.387	0.415828	0.415828	0.415861	0.415828	0.415828
0.388	0.416799	0.416799	0.416832	0.416799	0.416799
0.389	0.417769	0.417769	0.417803	0.417769	0.417769
0.39	0.418739	0.418739	0.418773	0.418739	0.418739
0.391	0.419707	0.419707	0.419742	0.419707	0.419707
0.392	0.420676	0.420676	0.42071	0.420676	0.420676
0.393	0.421643	0.421643	0.421678	0.421643	0.421643
0.394	0.422609	0.422609	0.422609	0.422609	0.422609
0.395	0.423575	0.423575	0.423575	0.423575	0.423575
0.396	0.42454	0.42454	0.42454	0.42454	0.42454
0.397	0.425504	0.425504	0.425504	0.425504	0.425504
0.398	0.426468	0.426468	0.426468	0.426468	0.426468
0.399	0.42743	0.42743	0.42743	0.42743	0.42743
0.4	0.428392	0.428392	0.428392	0.428392	0.428392
0.401	0.429354	0.429354	0.429353	0.429354	0.429354
0.402	0.430314	0.430314	0.430314	0.430314	0.430314
0.403	0.431274	0.431274	0.431273	0.431274	0.431274
0.404	0.432232	0.432232	0.432232	0.432232	0.432232
0.405	0.43319	0.43319	0.43319	0.43319	0.43319
0.406	0.434148	0.434148	0.434148	0.434148	0.434148
0.407	0.435104	0.435104	0.435104	0.435104	0.435104
0.408	0.43606	0.43606	0.43606	0.43606	0.43606
0.409	0.437015	0.437015	0.437015	0.437015	0.437015
0.41	0.437969	0.437969	0.437969	0.437969	0.437969
0.411	0.438922	0.438922	0.438922	0.438922	0.438922
0.412	0.439875	0.439875	0.439875	0.439875	0.439875
0.413	0.440827	0.440827	0.440827	0.440827	0.440827
0.414	0.441778	0.441778	0.441778	0.441778	0.441778
0.415	0.442728	0.442728	0.442728	0.442728	0.442728
0.416	0.443678	0.443678	0.443678	0.443678	0.443678
0.417	0.444626	0.444626	0.444626	0.444626	0.444626
0.418	0.445574	0.445574	0.445574	0.445574	0.445574
0.419	0.446521	0.446521	0.446521	0.446521	0.446521
0.42	0.447468	0.447468	0.447468	0.447468	0.447468
0.421	0.448413	0.448413	0.448413	0.448413	0.448413
0.422	0.449358	0.449358	0.449358	0.449358	0.449358
0.423	0.450302	0.450302	0.450302	0.450302	0.450302
0.424	0.451245	0.451245	0.451245	0.451245	0.451245
0.425	0.452187	0.452187	0.452187	0.452187	0.452187
0.426	0.453129	0.453129	0.453129	0.453129	0.453129
0.427	0.454069	0.454069	0.454069	0.454069	0.454069
0.428	0.455009	0.455009	0.455009	0.455009	0.455009
0.429	0.455948	0.455948	0.455948	0.455948	0.455948
0.43	0.456887	0.456887	0.456887	0.456887	0.456887
0.431	0.457824	0.457824	0.457824	0.457824	0.457824
0.432	0.458761	0.458761	0.458761	0.458761	0.458761
0.433	0.459697	0.459697	0.459697	0.459697	0.459697
0.434	0.460632	0.460632	0.460632	0.460632	0.460632
0.435	0.461566	0.461566	0.461566	0.461566	0.461566
0.436	0.4625	0.4625	0.462499	0.4625	0.4625
0.437	0.463432	0.463432	0.463432	0.463432	0.463432
0.438	0.464364	0.464364	0.464364	0.464364	0.464364
0.439	0.465295	0.465295	0.465295	0.465295	0.465295
0.44	0.466225	0.466225	0.466225	0.466225	0.466225
0.441	0.467154	0.467154	0.467154	0.467154	0.467154
0.442	0.468083	0.468083	0.468083	0.468083	0.468083
0.443	0.469011	0.469011	0.469011	0.469011	0.469011
0.444	0.469938	0.469938	0.469937	0.469938	0.469938
0.445	0.470864	0.470864	0.470864	0.470864	0.470864
0.446	0.471789	0.471789	0.471789	0.471789	0.471789
0.447	0.472713	0.472713	0.472713	0.472713	0.472713
0.448	0.473637	0.473637	0.473637	0.473637	0.473637
0.449	0.47456	0.47456	0.47456	0.47456	0.47456
0.45	0.475482	0.475482	0.475482	0.475482	0.475482
0.451	0.476403	0.476403	0.476403	0.476403	0.476403
0.452	0.477323	0.477323	0.477323	0.477323	0.477323
0.453	0.478243	0.478243	0.478242	0.478243	0.478243
0.454	0.479161	0.479161	0.479161	0.479161	0.479161
0.455	0.480079	0.480079	0.480079	0.480079	0.480079
0.456	0.480996	0.480996	0.480996	0.480996	0.480996
0.457	0.481912	0.481912	0.481912	0.481912	0.481912
0.458	0.482827	0.482827	0.482827	0.482827	0.482827
0.459	0.483742	0.483742	0.483742	0.483742	0.483742
0.46	0.484655	0.484655	0.484655	0.484655	0.484655
0.461	0.485568	0.485568	0.485568	0.485568	0.485568
0.462	0.48648	0.48648	0.48648	0.48648	0.48648
0.463	0.487391	0.487391	0.487391	0.487391	0.487391
0.464	0.488301	0.488301	0.488301	0.488301	0.488301
0.465	0.489211	0.489211	0.489211	0.489211	0.489211
0.466	0.490119	0.490119	0.490119	0.490119	0.490119
