x	res0	res1	res2	res3	func
3.22	-0.325335	-0.325335	-0.325335	-0.325335	-0.325335
3.23	-0.327847	-0.327847	-0.327847	-0.327847	-0.327847
3.24	-0.330319	-0.330319	-0.330319	-0.330319	-0.330319
3.25	-0.332751	-0.332751	-0.332751	-0.332751	-0.332751
3.26	-0.335142	-0.335142	-0.335142	-0.335142	-0.335142
3.27	-0.337492	-0.337492	-0.337492	-0.337492	-0.337492
3.28	-0.339801	-0.339801	-0.339801	-0.339801	-0.339801
3.29	-0.342069	-0.342069	-0.342069	-0.342069	-0.342069
3.3	-0.344296	-0.344296	-0.344296	-0.344296	-0.344296
3.31	-0.346482	-0.346482	-0.346482	-0.346482	-0.346482
3.32	-0.348627	-0.348627	-0.348627	-0.348627	-0.348627
3.33	-0.350731	-0.350731	-0.350731	-0.350731	-0.350731
3.34	-0.352793	-0.352793	-0.352793	-0.352793	-0.352793
3.35	-0.354814	-0.354814	-0.354814	-0.354814	-0.354814
3.36	-0.356793	-0.356793	-0.356793	-0.356793	-0.356793
3.37	-0.358731	-0.358731	-0.358731	-0.358731	-0.358731
3.38	-0.360628	-0.360628	-0.360628	-0.360628	-0.360628
3.39	-0.362482	-0.362482	-0.362482	-0.362482	-0.362482
3.4	-0.364296	-0.364296	-0.364296	-0.364296	-0.364296
3.41	-0.366067	-0.366067	-0.366067	-0.366067	-0.366067
3.42	-0.367797	-0.367797	-0.367797	-0.367797	-0.367797
3.43	-0.369485	-0.369485	-0.369485	-0.369485	-0.369485
3.44	-0.371131	-0.371131	-0.371131	-0.371131	-0.371131
3.45	-0.372735	-0.372735	-0.372735	-0.372735	-0.372735
3.46	-0.374297	-0.374297	-0.374297	-0.374297	-0.374297
3.47	-0.375818	-0.375818	-0.375818	-0.375818	-0.375818
3.48	-0.377296	-0.377296	-0.377296	-0.377296	-0.377296
3.49	-0.378733	-0.378733	-0.378733	-0.378733	-0.378733
3.5	-0.380128	-0.380128	-0.380128	-0.380128	-0.380128
3.51	-0.381481	-0.381481	-0.381481	-0.381481	-0.381481
3.52	-0.382791	-0.382791	-0.382791	-0.382791	-0.382791
3.53	-0.38406	-0.38406	-0.38406	-0.38406	-0.38406
3.54	-0.385287	-0.385287	-0.385287	-0.385287	-0.385287
3.55	-0.386472	-0.386472	-0.386472	-0.386472	-0.386472
3.56	-0.387615	-0.387615	-0.387615	-0.387615	-0.387615
3.57	-0.388717	-0.388717	-0.388717	-0.388717	-0.388717
3.58	-0.389776	-0.389776	-0.389776	-0.389776	-0.389776
3.59	-0.390793	-0.390793	-0.390793	-0.390793	-0.390793
3.6	-0.391769	-0.391769	-0.391769	-0.391769	-0.391769
3.61	-0.392703	-0.392703	-0.392703	-0.392703	-0.392703
3.62	-0.393595	-0.393595	-0.393595	-0.393595	-0.393595
3.63	-0.394445	-0.394445	-0.394445	-0.394445	-0.394445
3.64	-0.395253	-0.395253	-0.395253	-0.395253	-0.395253
3.65	-0.39602	-0.39602	-0.39602	-0.39602	-0.39602
3.66	-0.396745	-0.396745	-0.396745	-0.396745	-0.396745
3.67	-0.397429	-0.397429	-0.397429	-0.397429	-0.397429
3.68	-0.398071	-0.398071	-0.398071	-0.398071	-0.398071
3.69	-0.398671	-0.398671	-0.398671	-0.398671	-0.398671
3.7	-0.39923	-0.39923	-0.39923	-0.39923	-0.39923
3.71	-0.399748	-0.399748	-0.399748	-0.399748	-0.399748
3.72	-0.400224	-0.400224	-0.400224	-0.400224	-0.400224
3.73	-0.400659	-0.400659	-0.400659	-0.400659	-0.400659
3.74	-0.401053	-0.401053	-0.401053	-0.401053	-0.401053
3.75	-0.401406	-0.401406	-0.401406	-0.401406	-0.401406
3.76	-0.401718	-0.401718	-0.401718	-0.401718	-0.401718
3.77	-0.401989	-0.401989	-0.401989	-0.401989	-0.401989
3.78	-0.402219	-0.402219	-0.402219	-0.402219	-0.402219
3.79	-0.402408	-0.402408	-0.402408	-0.402408	-0.402408
3.8	-0.402556	-0.402556	-0.402556	-0.402556	-0.402556
3.81	-0.402664	-0.402664	-0.402664	-0.402664	-0.402664
3.82	-0.402732	-0.402732	-0.402732	-0.402732	-0.402732
3.83	-0.402759	-0.402759	-0.402759	-0.402759	-0.402759
3.84	-0.402746	-0.402746	-0.402746	-0.402746	-0.402746
3.85	-0.402692	-0.402692	-0.402692	-0.402692	-0.402692
3.86	-0.402599	-0.402599	-0.402599	-0.402599	-0.402599
3.87	-0.402465	-0.402465	-0.402465	-0.402465	-0.402465
3.88	-0.402292	-0.402292	-0.402292	-0.402292	-0.402292
3.89	-0.402079	-0.402079	-0.402079	-0.402079	-0.402079
3.9	-0.401826	-0.401826	-0.401826	-0.401826	-0.401826
3.91	-0.401534	-0.401534	-0.401534	-0.401534	-0.401534
3.92	-0.401202	-0.401202	-0.401202	-0.401202	-0.401202
3.93	-0.400832	-0.400832	-0.400832	-0.400832	-0.400832
3.94	-0.400422	-0.400422	-0.400422	-0.400422	-0.400422
3.95	-0.399973	-0.399973	-0.399973	-0.399973	-0.399973
3.96	-0.399485	-0.399485	-0.399485	-0.399485	-0.399485
3.97	-0.398959	-0.398959	-0.398959	-0.398959	-0.398959
3.98	-0.398394	-0.398394	-0.398394	-0.398394	-0.398394
3.99	-0.397791	-0.397791	-0.397791	-0.397791	-0.397791
4	-0.39715	-0.39715	-0.39715	-0.39715	-0.39715
4.01	-0.39647	-0.39647	-0.39647	-0.39647	-0.39647
4.02	-0.395753	-0.395753	-0.395753	-0.395753	-0.395753
4.03	-0.394998	-0.394998	-0.394998	-0.394998	-0.394998
4.04	-0.394205	-0.394205	-0.394205	-0.394205	-0.394205
4.05	-0.393375	-0.393375	-0.393375	-0.393375	-0.393375
4.06	-0.392508	-0.392508	-0.392508	-0.392508	-0.392508
4.07	-0.391603	-0.391603	-0.391603	-0.391603	-0.391603
4.08	-0.390662	-0.390662	-0.390662	-0.390662	-0.390662
4.09	-0.389684	-0.389684	-0.389684	-0.389684	-0.389684
4.1	-0.38867	-0.38867	-0.38867	-0.38867	-0.38867
4.11	-0.387619	-0.387619	-0.387619	-0.387619	-0.387619
4.12	-0.386532	-0.386532	-0.386532	-0.386532	-0.386532
4.13	-0.385409	-0.385409	-0.385409	-0.385409	-0.385409
4.14	-0.38425	-0.38425	-0.38425	-0.38425	-0.38425
4.15	-0.383056	-0.383056	-0.383056	-0.383056	-0.383056
4.16	-0.381826	-0.381826	-0.381826	-0.381826	-0.381826
4.17	-0.380561	-0.380561	-0.380561	-0.380561	-0.380561
4.18	-0.379261	-0.379261	-0.379261	-0.379261	-0.379261
4.19	-0.377926	-0.377926	-0.377926	-0.377926	-0.377926
4.2	-0.376557	-0.376557	-0.376557	-0.376557	-0.376557
4.21	-0.375153	-0.375153	-0.375153	-0.375153	-0.375153
4.22	-0.373716	-0.373716	-0.373716	-0.373716	-0.373716
4.23	-0.372244	-0.372244	-0.372244	-0.372244	-0.372244
4.24	-0.370739	-0.370739	-0.370739	-0.370739	-0.370739
4.25	-0.3692	-0.3692	-0.3692	-0.3692	-0.3692
4.26	-0.367628	-0.367628	-0.367628	-0.367628	-0.367628
4.27	-0.366022	-0.366022	-0.366022	-0.366022	-0.366022
4.28	-0.364385	-0.364385	-0.364385	-0.364385	-0.364385
4.29	-0.362714	-0.362714	-0.362714	-0.362714	-0.362714
4.3	-0.361011	-0.361011	-0.361011	-0.361011	-0.361011
4.31	-0.359276	-0.359276	-0.359276	-0.359276	-0.359276
4.32	-0.357509	-0.357509	-0.357509	-0.357509	-0.357509
