x	math	gsl	my
-4.5491	-0.0561076	-0.0561076	-0.0561076
-4.5481	-0.0561715	-0.0561715	-0.0561715
-4.5471	-0.0562359	-0.0562359	-0.0562359
-4.5461	-0.056301	-0.056301	-0.056301
-4.5451	-0.0563668	-0.0563668	-0.0563668
-4.5441	-0.0564332	-0.0564332	-0.0564332
-4.5431	-0.0565002	-0.0565002	-0.0565002
-4.5421	-0.0565678	-0.0565678	-0.0565678
-4.5411	-0.0566361	-0.0566361	-0.0566361
-4.5401	-0.056705	-0.056705	-0.056705
-4.5391	-0.0567746	-0.0567746	-0.0567746
-4.5381	-0.0568448	-0.0568448	-0.0568448
-4.5371	-0.0569157	-0.0569157	-0.0569157
-4.5361	-0.0569872	-0.0569872	-0.0569872
-4.5351	-0.0570593	-0.0570593	-0.0570593
-4.5341	-0.0571321	-0.0571321	-0.0571321
-4.5331	-0.0572056	-0.0572056	-0.0572056
-4.5321	-0.0572797	-0.0572797	-0.0572797
-4.5311	-0.0573545	-0.0573545	-0.0573545
-4.5301	-0.0574299	-0.0574299	-0.0574299
-4.5291	-0.057506	-0.057506	-0.057506
-4.5281	-0.0575827	-0.0575827	-0.0575827
-4.5271	-0.0576601	-0.0576601	-0.0576601
-4.5261	-0.0577382	-0.0577382	-0.0577382
-4.5251	-0.057817	-0.057817	-0.057817
-4.5241	-0.0578964	-0.0578964	-0.0578964
-4.5231	-0.0579765	-0.0579765	-0.0579765
-4.5221	-0.0580572	-0.0580572	-0.0580572
-4.5211	-0.0581387	-0.0581387	-0.0581387
-4.5201	-0.0582208	-0.0582208	-0.0582208
-4.5191	-0.0583036	-0.0583036	-0.0583036
-4.5181	-0.0583871	-0.0583871	-0.0583871
-4.5171	-0.0584713	-0.0584713	-0.0584713
-4.5161	-0.0585562	-0.0585562	-0.0585562
-4.5151	-0.0586417	-0.0586417	-0.0586417
-4.5141	-0.058728	-0.058728	-0.058728
-4.5131	-0.0588149	-0.0588149	-0.0588149
-4.5121	-0.0589026	-0.0589026	-0.0589026
-4.5111	-0.0589909	-0.0589909	-0.0589909
-4.5101	-0.05908	-0.05908	-0.05908
-4.5091	-0.0591698	-0.0591698	-0.0591698
-4.5081	-0.0592602	-0.0592602	-0.0592602
-4.5071	-0.0593514	-0.0593514	-0.0593514
-4.5061	-0.0594433	-0.0594433	-0.0594433
-4.5051	-0.059536	-0.059536	-0.059536
-4.5041	-0.0596293	-0.0596293	-0.0596293
-4.5031	-0.0597234	-0.0597234	-0.0597234
-4.5021	-0.0598182	-0.0598182	-0.0598182
-4.5011	-0.0599137	-0.0599137	-0.0599137
-4.5001	-0.0600099	-0.0600099	-0.0600099
-4.4991	-0.0601069	-0.0601069	-0.0601069
-4.4981	-0.0602047	-0.0602047	-0.0602047
-4.4971	-0.0603031	-0.0603031	-0.0603031
-4.4961	-0.0604023	-0.0604023	-0.0604024
-4.4951	-0.0605023	-0.0605023	-0.0605023
-4.4941	-0.060603	-0.060603	-0.060603
-4.4931	-0.0607045	-0.0607045	-0.0607045
-4.4921	-0.0608067	-0.0608067	-0.0608067
-4.4911	-0.0609097	-0.0609097	-0.0609097
-4.4901	-0.0610135	-0.0610135	-0.0610135
-4.4891	-0.061118	-0.061118	-0.061118
-4.4881	-0.0612233	-0.0612233	-0.0612233
-4.4871	-0.0613294	-0.0613294	-0.0613294
-4.4861	-0.0614362	-0.0614362	-0.0614362
-4.4851	-0.0615439	-0.0615439	-0.0615439
