x	math	gsl	my
3.8561	1.61398	1.61398	1.61398
3.8571	1.6152	1.6152	1.6152
3.8581	1.61641	1.61641	1.61641
3.8591	1.61763	1.61763	1.61763
3.8601	1.61884	1.61884	1.61884
3.8611	1.62006	1.62006	1.62006
3.8621	1.62128	1.62128	1.62127
3.8631	1.62249	1.62249	1.62249
3.8641	1.62371	1.62371	1.62371
3.8651	1.62493	1.62493	1.62492
3.8661	1.62614	1.62614	1.62614
3.8671	1.62736	1.62736	1.62736
3.8681	1.62858	1.62858	1.62858
3.8691	1.6298	1.6298	1.6298
3.8701	1.63101	1.63101	1.63101
3.8711	1.63223	1.63223	1.63223
3.8721	1.63345	1.63345	1.63345
3.8731	1.63467	1.63467	1.63467
3.8741	1.63589	1.63589	1.63589
3.8751	1.63711	1.63711	1.63711
3.8761	1.63833	1.63833	1.63833
3.8771	1.63955	1.63955	1.63955
3.8781	1.64077	1.64077	1.64077
3.8791	1.64199	1.64199	1.64199
3.8801	1.64321	1.64321	1.64321
3.8811	1.64444	1.64444	1.64444
3.8821	1.64566	1.64566	1.64566
3.8831	1.64688	1.64688	1.64688
3.8841	1.6481	1.6481	1.6481
3.8851	1.64933	1.64933	1.64932
3.8861	1.65055	1.65055	1.65055
3.8871	1.65177	1.65177	1.65177
3.8881	1.653	1.653	1.653
3.8891	1.65422	1.65422	1.65422
3.8901	1.65544	1.65544	1.65544
3.8911	1.65667	1.65667	1.65667
3.8921	1.65789	1.65789	1.65789
3.8931	1.65912	1.65912	1.65912
3.8941	1.66034	1.66034	1.66034
3.8951	1.66157	1.66157	1.66157
3.8961	1.6628	1.6628	1.6628
3.8971	1.66402	1.66402	1.66402
3.8981	1.66525	1.66525	1.66525
3.8991	1.66648	1.66648	1.66648
3.9001	1.6677	1.6677	1.6677
3.9011	1.66893	1.66893	1.66893
3.9021	1.67016	1.67016	1.67016
3.9031	1.67139	1.67139	1.67139
3.9041	1.67261	1.67261	1.67261
3.9051	1.67384	1.67384	1.67384
