0.0005594	
r	f(e,r)	Exact
0.814	0.360272	0.360669
0.815	0.360355	0.360751
0.816	0.360436	0.360833
0.817	0.360518	0.360914
0.818	0.360599	0.360994
0.819	0.360679	0.361074
0.82	0.360759	0.361154
0.821	0.360838	0.361233
0.822	0.360916	0.361311
0.823	0.360995	0.361389
0.824	0.361072	0.361467
0.825	0.361149	0.361544
0.826	0.361226	0.36162
0.827	0.361302	0.361696
0.828	0.361377	0.361772
0.829	0.361452	0.361847
0.83	0.361526	0.361921
0.831	0.3616	0.361995
0.832	0.361673	0.362068
0.833	0.361746	0.362141
0.834	0.361819	0.362213
0.835	0.361891	0.362285
0.836	0.361962	0.362357
0.837	0.362033	0.362427
0.838	0.362104	0.362498
0.839	0.362174	0.362568
0.84	0.362243	0.362637
0.841	0.362312	0.362706
0.842	0.362381	0.362774
0.843	0.362449	0.362842
0.844	0.362516	0.362909
0.845	0.362583	0.362976
0.846	0.362649	0.363042
0.847	0.362715	0.363108
0.848	0.36278	0.363173
0.849	0.362845	0.363238
0.85	0.362909	0.363303
0.851	0.362973	0.363367
0.852	0.363037	0.36343
0.853	0.3631	0.363493
0.854	0.363163	0.363555
0.855	0.363225	0.363617
0.856	0.363286	0.363679
0.857	0.363348	0.363739
0.858	0.363408	0.3638
0.859	0.363468	0.36386
0.86	0.363528	0.363919
0.861	0.363587	0.363978
0.862	0.363646	0.364037
0.863	0.363704	0.364095
0.864	0.363761	0.364153
0.865	0.363818	0.36421
0.866	0.363875	0.364266
0.867	0.363931	0.364322
0.868	0.363986	0.364378
0.869	0.364042	0.364433
0.87	0.364097	0.364488
0.871	0.364151	0.364542
0.872	0.364205	0.364596
0.873	0.364259	0.364649
0.874	0.364312	0.364702
0.875	0.364364	0.364754
0.876	0.364416	0.364806
0.877	0.364468	0.364858
0.878	0.364519	0.364908
0.879	0.364569	0.364959
0.88	0.364619	0.365009
0.881	0.364669	0.365059
0.882	0.364718	0.365108
0.883	0.364767	0.365156
0.884	0.364815	0.365204
0.885	0.364862	0.365252
0.886	0.364909	0.365299
0.887	0.364956	0.365346
0.888	0.365003	0.365392
0.889	0.365049	0.365438
0.89	0.365095	0.365484
0.891	0.36514	0.365529
0.892	0.365185	0.365573
0.893	0.365229	0.365617
0.894	0.365273	0.365661
0.895	0.365316	0.365704
0.896	0.365359	0.365746
0.897	0.365401	0.365789
0.898	0.365443	0.36583
0.899	0.365484	0.365872
0.9	0.365525	0.365913
0.901	0.365566	0.365953
0.902	0.365605	0.365993
0.903	0.365645	0.366033
0.904	0.365684	0.366072
0.905	0.365723	0.36611
0.906	0.365761	0.366149
0.907	0.365799	0.366186
0.908	0.365837	0.366224
0.909	0.365874	0.366261
0.91	0.36591	0.366297
0.911	0.365947	0.366333
0.912	0.365982	0.366369
0.913	0.366018	0.366404
0.914	0.366053	0.366438
0.915	0.366087	0.366473
0.916	0.366121	0.366507
0.917	0.366154	0.36654
0.918	0.366187	0.366573
0.919	0.36622	0.366605
0.92	0.366252	0.366638
0.921	0.366283	0.366669
0.922	0.366315	0.3667
0.923	0.366345	0.366731
0.924	0.366376	0.366762
0.925	0.366406	0.366792
0.926	0.366436	0.366821
0.927	0.366465	0.36685
0.928	0.366494	0.366879
0.929	0.366523	0.366907
0.93	0.366551	0.366935
0.931	0.366578	0.366962
0.932	0.366605	0.366989
0.933	0.366632	0.367016
0.934	0.366658	0.367042
0.935	0.366684	0.367068
0.936	0.366709	0.367093
0.937	0.366734	0.367118
0.938	0.366759	0.367142
0.939	0.366783	0.367167
0.94	0.366806	0.36719
0.941	0.366829	0.367213
0.942	0.366852	0.367236
0.943	0.366875	0.367259
0.944	0.366897	0.367281
0.945	0.366919	0.367302
0.946	0.366941	0.367323
0.947	0.366962	0.367344
0.948	0.366982	0.367364
0.949	0.367002	0.367384
0.95	0.367022	0.367404
0.951	0.367041	0.367423
0.952	0.36706	0.367442
0.953	0.367079	0.36746
0.954	0.367097	0.367478
0.955	0.367114	0.367496
0.956	0.367131	0.367513
0.957	0.367148	0.367529
0.958	0.367164	0.367546
0.959	0.36718	0.367562
0.96	0.367195	0.367577
0.961	0.367211	0.367592
0.962	0.367226	0.367607
0.963	0.36724	0.367621
0.964	0.367254	0.367635
0.965	0.367268	0.367649
0.966	0.367282	0.367662
0.967	0.367295	0.367675
0.968	0.367307	0.367687
0.969	0.367319	0.367699
0.97	0.367331	0.367711
0.971	0.367342	0.367722
0.972	0.367353	0.367733
0.973	0.367364	0.367743
0.974	0.367374	0.367753
0.975	0.367383	0.367763
0.976	0.367392	0.367772
0.977	0.367401	0.367781
0.978	0.36741	0.367789
0.979	0.367418	0.367797
